WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,67.0,243.0,41.95,90.65,0.4635,11.95,34.400000000000006,0.348,30.0,56.25,0.5335000000000001,19.85,25.4,0.781,10.55,34.65,45.15,24.5,8.4,5.75,15.6,22.05,115.75
1,1,72.0,242.1,39.849999999999994,88.35,0.451,12.2,34.65,0.352,27.65,53.65,0.515,18.700000000000003,23.85,0.784,10.5,34.7,45.2,22.7,7.7,5.55,14.5,21.15,110.5
0,1,72.0,242.8,40.9,91.6,0.44699999999999995,12.649999999999999,36.45,0.3465,28.25,55.1,0.5135000000000001,17.65,23.35,0.757,10.6,36.3,46.9,23.55,7.050000000000001,4.9,14.05,21.05,112.05
0,1,65.0,242.3,39.5,86.7,0.455,12.25,34.7,0.35200000000000004,27.25,52.05,0.5235,15.1,20.0,0.753,10.95,33.4,44.4,25.200000000000003,7.3,4.55,14.5,19.700000000000003,106.25
0,1,65.0,241.2,39.55,85.55,0.46299999999999997,11.7,33.35,0.3505,27.85,52.2,0.534,17.6,23.25,0.757,10.35,33.4,43.7,24.299999999999997,9.1,5.0,16.9,20.5,108.35
0,1,65.0,241.9,42.099999999999994,88.65,0.4745,11.8,32.4,0.363,30.3,56.25,0.5385,14.899999999999999,19.549999999999997,0.7625,10.25,33.25,43.55,24.6,8.15,4.75,14.75,18.950000000000003,110.85
1,0,75.0,242.3,41.8,90.94999999999999,0.4595,13.7,38.099999999999994,0.3590000000000001,28.1,52.85,0.532,17.3,22.4,0.7695000000000001,10.45,35.7,46.15,24.299999999999997,6.55,4.449999999999999,12.3,20.4,114.55
1,0,73.0,243.1,41.0,87.7,0.46799999999999997,11.55,32.25,0.3585,29.5,55.45,0.5315,16.65,21.7,0.768,10.45,33.0,43.35,26.049999999999997,7.6,4.5,14.05,20.4,110.25
0,1,66.0,241.9,40.599999999999994,86.5,0.4695,11.35,31.150000000000002,0.36400000000000005,29.3,55.4,0.528,16.4,21.65,0.76,9.95,32.7,42.6,24.35,7.8,5.05,14.65,19.75,109.0
0,0,65.0,241.9,40.400000000000006,88.4,0.45699999999999996,11.95,33.05,0.3615,28.45,55.349999999999994,0.514,17.9,22.549999999999997,0.7929999999999999,10.1,34.599999999999994,44.65,25.85,8.2,4.75,15.25,20.1,110.65
1,0,72.0,241.4,41.55,90.95,0.4565,13.899999999999999,40.15,0.347,27.6,50.85,0.5445,19.3,24.9,0.7759999999999999,10.5,35.6,46.099999999999994,23.450000000000003,8.35,5.050000000000001,15.45,21.4,116.3
1,1,73.0,241.4,40.8,88.5,0.461,10.85,30.8,0.352,29.95,57.599999999999994,0.52,16.0,20.35,0.7875,9.55,34.5,44.0,24.5,7.15,4.9,13.95,19.3,108.45
1,0,72.0,241.4,40.55,89.7,0.45199999999999996,12.350000000000001,34.55,0.358,28.15,55.2,0.5105,19.65,25.4,0.7734999999999999,10.7,35.8,46.5,23.7,7.3,4.7,14.35,22.5,113.1
1,0,71.0,240.7,40.7,87.69999999999999,0.46399999999999997,11.3,32.5,0.349,29.35,55.2,0.531,17.799999999999997,23.6,0.755,10.05,34.0,44.0,24.4,8.399999999999999,5.15,15.55,21.2,110.5
0,0,73.0,240.7,41.55,90.6,0.45899999999999996,11.9,33.4,0.356,29.65,57.2,0.518,18.1,23.4,0.7725,10.350000000000001,35.35,45.7,25.85,7.95,5.4,15.0,20.7,113.15
1,1,73.0,243.1,39.15,85.55000000000001,0.45799999999999996,13.25,36.55,0.363,25.85,48.95,0.5285,19.049999999999997,24.4,0.7829999999999999,8.85,34.599999999999994,43.45,25.25,7.5,4.3,14.45,21.15,110.55
1,1,73.0,241.0,41.099999999999994,92.45,0.445,13.9,39.099999999999994,0.355,27.25,53.35,0.512,17.5,22.95,0.7645,9.5,39.25,48.75,25.049999999999997,7.300000000000001,5.2,14.6,20.65,113.65
0,0,64.0,243.1,41.75,91.0,0.459,12.45,35.8,0.34950000000000003,29.35,55.25,0.53,19.4,25.299999999999997,0.768,10.3,35.75,46.05,24.1,8.25,5.6,15.4,21.5,115.4
0,0,72.0,242.1,42.650000000000006,91.69999999999999,0.465,12.899999999999999,35.4,0.3655,29.7,56.4,0.527,18.25,24.049999999999997,0.7590000000000001,10.6,35.05,45.65,25.65,8.0,4.9,15.45,21.15,116.44999999999999
0,1,66.0,241.9,39.95,87.65,0.45499999999999996,11.45,31.65,0.359,28.5,56.05,0.5095000000000001,17.75,24.6,0.7215,10.8,34.55,45.35,23.200000000000003,7.4,4.85,14.0,21.0,109.05
1,0,72.0,242.1,40.4,87.55,0.4615,11.0,31.75,0.34750000000000003,29.4,55.849999999999994,0.526,17.65,22.200000000000003,0.7955,9.35,34.5,43.849999999999994,22.35,7.3,4.45,13.95,21.05,109.4
